,prop_type,list_date,last_update,prop_status,year_built,address.city,address.county,address.postal_code,address.lat,address.lon,community.price_min,community.baths_min,community.beds_min,community.sqft_min
94,condo,2020-11-11T16:43:00.000Z,2021-02-10T16:55:12.893Z,for_rent,,Los Angeles,Los Angeles,90049,34.06378,-118.471016,1999,1.0,1,510.0
95,condo,2021-02-08T14:43:00.000Z,2021-02-08T16:55:13.843Z,for_rent,,Santa Monica,Los Angeles,90405,34.008298,-118.485253,2800,1.0,1,699.0
96,condo,2021-02-05T16:43:00.000Z,2021-02-05T22:55:13.3Z,for_rent,,San Jose,Santa Clara,95126,37.328326,-121.904094,3600,2.5,3,1581.0
97,condo,2021-02-01T14:43:00.000Z,2021-02-01T14:55:16.89Z,for_rent,,Los Angeles,Los Angeles,90068,34.132985,-118.361892,4300,2.5,2,1500.0
98,condo,2021-01-24T04:43:00.000Z,2021-01-25T20:55:12.773Z,for_rent,,San Francisco,San Francisco,94110,37.757172,-122.420026,5300,2.0,3,1410.0
99,condo,2021-02-08T14:43:00.000Z,2021-02-13T02:55:32.303Z,for_rent,,San Francisco,San Francisco,94105,37.789376,-122.390972,5000,2.0,2,1200.0
100,condo,2021-01-22T20:43:00.000Z,2021-02-08T00:55:13.353Z,for_rent,,Playa Del Rey,Los Angeles,90293,33.957646,-118.432057,2100,1.0,1,718.0
101,single_family,2021-02-04T14:43:00.000Z,2021-02-04T14:55:18.387Z,for_rent,,Pasadena,Los Angeles,91107,34.138501,-118.093586,3585,2.0,3,1656.0
102,condo,2021-02-04T14:43:00.000Z,2021-02-04T14:55:18.387Z,for_rent,,Los Angeles,Los Angeles,90027,34.098998,-118.308385,2299,1.5,2,1000.0
103,condo,2020-08-31T15:45:00.000Z,2021-01-31T22:55:13.1Z,for_rent,,Manhattan Beach,Los Angeles,90266,33.887069,-118.403518,3695,2.0,2,1000.0
104,condo,2021-01-27T02:43:00.000Z,2021-02-14T14:55:15.747Z,for_rent,,San Mateo,San Mateo,94403,37.546544,-122.320871,3450,2.0,2,1100.0
105,condo,2021-01-02T20:43:00.000Z,2021-02-03T20:55:13.343Z,for_rent,,Oakland,Alameda,94607,37.807862,-122.302129,3375,2.5,2,1350.0
106,single_family,2021-02-04T16:43:00.000Z,2021-02-14T22:55:13.477Z,for_rent,,Redwood City,San Mateo,94063,37.482978,-122.188013,3900,1.0,3,1201.0
107,condo,2021-01-11T14:43:00.000Z,2021-02-14T16:55:13.243Z,for_rent,,Los Angeles,Los Angeles,90049,34.05191,-118.464535,3475,2.0,2,1300.0
108,condo,2020-11-21T18:43:00.000Z,2021-02-11T22:55:14.387Z,for_rent,,Los Angeles,Los Angeles,90025,34.053813,-118.427088,3150,2.0,2,1523.0
109,single_family,2021-02-10T22:43:00.000Z,2021-02-11T00:55:12.267Z,for_rent,,Los Angeles,Los Angeles,90068,34.111445,-118.325687,6300,1.5,3,1500.0
110,single_family,2021-02-03T20:43:00.000Z,2021-02-14T22:55:13.477Z,for_rent,,Pacific Palisades,Los Angeles,90272,34.042799,-118.550804,6350,1.0,2,1280.0
111,condo,2021-01-21T22:43:00.000Z,2021-02-14T14:55:15.747Z,for_rent,,Los Angeles,Los Angeles,90034,34.031105,-118.397423,1921,1.0,1,800.0
112,single_family,2021-02-01T16:43:00.000Z,2021-02-01T18:55:13.057Z,for_rent,,Simi Valley,Ventura,93063,34.28314,-118.696726,3400,2.0,3,1632.0
113,condo,2021-01-31T20:43:00.000Z,2021-01-31T22:55:13.1Z,for_rent,,Los Angeles,Los Angeles,91601,34.161668,-118.377836,1795,1.0,1,800.0
114,condo,2021-02-05T16:43:00.000Z,2021-02-14T22:55:13.477Z,for_rent,,San Carlos,San Mateo,94070,37.505565,-122.261055,2900,1.0,1,780.0
115,single_family,2021-02-09T22:43:00.000Z,2021-02-10T14:55:14.317Z,for_rent,,Los Angeles,Los Angeles,91601,34.164332,-118.358583,1525,1.0,0,285.0
116,single_family,2021-01-21T14:43:00.000Z,2021-02-05T22:55:13.3Z,for_rent,,Berkeley,Alameda,94705,37.858979,-122.265549,1950,1.0,0,400.0
117,condo,2021-02-05T22:43:00.000Z,2021-02-05T22:55:13.3Z,for_rent,,Norwalk,Los Angeles,90650,33.912306,-118.075401,1875,2.0,2,650.0
118,condo,2021-02-13T14:43:00.000Z,2021-02-13T14:55:16.26Z,for_rent,,North Hollywood,Los Angeles,91601,34.15819,-118.375301,2695,2.0,2,1350.0
119,condo,2021-02-11T22:43:00.000Z,2021-02-11T22:55:14.387Z,for_rent,,San Jose,Santa Clara,95133,37.374057,-121.850437,2400,2.0,2,1000.0
120,condo,2020-12-15T16:43:00.000Z,2021-01-20T22:55:13.61Z,for_rent,,Santa Monica,Los Angeles,90405,34.007218,-118.482648,3995,1.5,2,949.0
121,condo,2021-02-04T22:43:00.000Z,2021-02-04T22:55:13.1Z,for_rent,,Azusa,Los Angeles,91702,34.156109,-117.910711,2700,3.0,3,1476.0
122,single_family,2021-02-13T14:43:00.000Z,2021-02-13T14:55:16.26Z,for_rent,,Los Angeles,Los Angeles,90034,34.023757,-118.412652,1700,1.0,2,480.0
123,single_family,2020-12-15T14:43:00.000Z,2021-01-11T08:55:40.24Z,for_rent,,Truckee,Nevada,96161,39.358529,-120.217499,9500,3.5,4,3489.0
124,condo,2021-01-19T20:43:00.000Z,2021-01-31T22:55:13.1Z,for_rent,,San Diego,San Diego,92108,32.774782,-117.142475,4300,3.5,3,1952.0
125,single_family,2020-08-31T15:45:00.000Z,2021-01-25T22:55:12.673Z,for_rent,,Santa Clarita,Los Angeles,91384,34.447531,-118.653095,2595,2.0,2,1204.0
126,single_family,2020-11-17T16:43:00.000Z,2021-01-31T22:55:13.1Z,for_rent,,San Jose,Santa Clara,95110,37.343475,-121.899448,4500,2.0,2,1200.0
127,condo,2020-11-17T16:43:00.000Z,2021-01-11T08:55:40.24Z,for_rent,,Richmond,Contra Costa,94804,37.912915,-122.344229,3000,2.0,2,1005.0
128,single_family,2020-12-19T20:43:00.000Z,2021-01-14T08:55:38.647Z,for_rent,,Alameda,Alameda,94501,37.766736,-122.245898,3500,1.0,3,2141.0
129,single_family,2020-08-31T15:45:00.000Z,2021-02-11T02:56:05.687Z,for_rent,,Los Angeles,Los Angeles,90291,33.992828,-118.468285,3250,1.0,1,800.0
130,condo,2020-12-10T16:43:00.000Z,2021-02-10T20:55:13.45Z,for_rent,,Hayward,Alameda,94544,37.656487,-122.090346,2895,2.5,3,1585.0
131,condo,2020-11-01T10:43:00.000Z,2021-01-11T08:55:40.24Z,for_rent,,San Ramon,Contra Costa,94582,37.783323,-121.94302,1550,1.0,1,400.0
132,condo,2021-01-11T16:43:00.000Z,2021-02-10T14:55:14.317Z,for_rent,,San Diego,San Diego,92110,32.767132,-117.185708,3500,2.5,3,1601.0
133,single_family,2020-10-04T22:43:00.000Z,2021-01-11T08:55:40.24Z,for_rent,,La Puente,Los Angeles,91744,34.047972,-117.935808,2530,1.5,3,1500.0
134,single_family,2021-02-01T20:43:00.000Z,2021-02-01T22:55:12.577Z,for_rent,,Clovis,Fresno,93612,36.788798,-119.694765,1600,2.0,3,1389.0
135,single_family,2020-11-18T22:43:00.000Z,2021-01-28T02:55:13.867Z,for_rent,,Los Angeles,Los Angeles,90001,33.963515,-118.261452,2600,1.0,2,2000.0
136,single_family,2020-10-25T06:43:00.000Z,2021-01-11T08:55:40.24Z,for_rent,,Desert Hot Springs,Riverside,92240,33.978644,-116.502122,1495,1.5,4,1450.0
137,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Chatsworth,Los Angeles,91311,34.23932,-118.608506,3450,2.5,3,1864.0
138,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Los Angeles,Los Angeles,90036,34.079515,-118.350727,5495,2.0,3,2261.0
139,single_family,,2021-02-15T04:55:16.953Z,for_rent,,La Quinta,Riverside,92253,33.681168,-116.293625,11000,2.5,4,2714.0
140,single_family,,2021-02-15T04:55:16.953Z,for_rent,,La Jolla,San Diego,92037,32.856733,-117.255191,20000,5.0,5,4000.0
141,single_family,,2021-02-15T14:30:08.37Z,for_rent,,Riverside,Riverside,92506,33.969584,-117.399895,650,2.5,4,2975.0
142,condo,,2021-02-15T04:55:16.953Z,for_rent,,Carlsbad,San Diego,92009,33.094183,-117.260177,3500,2.5,2,1229.0
143,condo,,2021-02-15T04:55:16.953Z,for_rent,,Long Beach,Los Angeles,90813,33.786493,-118.177859,2400,1.0,2,863.0
144,single_family,,2021-02-15T12:55:13.917Z,for_rent,,Los Angeles,Los Angeles,90044,33.942843,-118.284603,2725,1.0,4,1322.0
145,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Sacramento,Sacramento,95831,38.50748,-121.506574,2300,2.0,3,2000.0
146,condo,2020-03-21T01:04:00.000Z,2021-02-15T14:34:00.000Z,for_rent,2019.0,Los Angeles,Los Angeles,90037,34.007581,-118.300513,3695,3.0,4,
147,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Los Angeles,Los Angeles,90008,34.008039,-118.352268,1525,1.0,1,2000.0
148,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Valencia,Los Angeles,91381,34.415109,-118.582442,3800,3.0,4,2293.0
149,condo,2020-12-07T05:03:00.000Z,2021-02-15T14:34:00.000Z,for_rent,2010.0,Studio City,Los Angeles,91604,34.150781,-118.412814,4250,3.0,3,1500.0
150,single_family,,2021-02-15T12:55:13.917Z,for_rent,,Los Angeles,Los Angeles,91364,34.159617,-118.604828,3999,2.0,3,1787.0
151,single_family,,2021-02-15T04:55:16.953Z,for_rent,,San Francisco,San Francisco,94134,37.710917,-122.41309,3945,3.0,4,1725.0
152,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Cambria,San Luis Obispo,93428,35.564,-121.10191,6600,2.5,3,950.0
153,condo,,2021-02-15T04:55:16.953Z,for_rent,,Pasadena,Los Angeles,91103,34.158274,-118.148594,2800,2.0,3,1283.0
154,single_family,,2021-02-15T04:55:16.953Z,for_rent,,San Diego,San Diego,92106,32.743593,-117.217915,3095,2.0,3,1440.0
155,single_family,,2021-02-15T18:30:08.27Z,for_rent,,Buena Park,Orange,90620,33.837815,-118.006826,3100,2.0,4,1287.0
156,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Huntington Beach,Orange,92646,33.676505,-117.949609,3000,2.0,4,1448.0
157,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Placentia,Orange,92870,33.87333,-117.82988,3150,2.5,3,1850.0
158,single_family,,2021-02-15T04:55:16.953Z,for_rent,,San Francisco,San Francisco,94134,37.726355,-122.419136,3900,1.0,2,1290.0
159,condo,,2021-02-15T04:55:16.953Z,for_rent,,Anaheim,Orange,92801,33.838787,-117.953545,2495,2.5,2,1220.0
160,condo,,2021-02-15T04:55:16.953Z,for_rent,,Dublin,Alameda,94568,37.704551,-121.899242,3090,2.0,2,1399.0
161,condo,,2021-02-15T04:55:16.953Z,for_rent,,San Diego,San Diego,92037,32.866126,-117.234359,3300,2.5,2,1188.0
162,condo,,2021-02-15T12:55:13.917Z,for_rent,,Fairfield,Solano,94533,38.256646,-122.041994,1850,2.5,2,800.0
163,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Sunland,Los Angeles,91040,34.25513,-118.30468,3000,2.0,3,1800.0
164,condo,,2021-02-15T04:55:16.953Z,for_rent,,Sacramento,Sacramento,95833,38.61313,-121.520464,1995,2.5,2,1431.0
165,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Oakland,Alameda,94601,37.774519,-122.200456,1900,1.0,0,320.0
166,condo,,2021-02-15T04:55:16.953Z,for_rent,,Los Angeles,Los Angeles,90272,34.048983,-118.5278,4500,2.5,2,1424.0
167,single_family,,2021-02-15T04:55:16.953Z,for_rent,,American Canyon,Napa,94503,38.156962,-122.263106,825,1.0,1,119.0
168,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Pleasanton,Alameda,94566,37.660382,-121.8776,5100,3.0,3,1524.0
169,condo,,2021-02-15T04:55:16.953Z,for_rent,,Montclair,San Bernardino,91763,34.071487,-117.698242,2350,2.5,2,1227.0
170,single_family,,2021-02-15T04:55:16.953Z,for_rent,,San Jose,Santa Clara,95132,37.407593,-121.853646,3880,2.0,4,1574.0
171,condo,,2021-02-15T04:55:16.953Z,for_rent,,Vista,San Diego,92084,33.210594,-117.236265,2100,1.5,2,864.0
172,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Paso Robles,San Luis Obispo,93446,35.628609,-120.680277,2599,1.0,3,1100.0
173,condo,2021-02-03T13:03:00.000Z,2021-02-15T14:34:00.000Z,for_rent,,Pasadena,Los Angeles,91106,34.138408,-118.12818,4500,3.0,3,1879.0
174,single_family,,2021-02-15T04:55:16.953Z,for_rent,,San Diego,San Diego,92115,32.75328,-117.071209,3800,2.0,3,1200.0
175,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Sunnyvale,Santa Clara,94085,37.39137,-122.017719,4300,2.5,3,1384.0
176,condo,,2021-02-15T04:55:16.953Z,for_rent,,San Francisco,San Francisco,94110,37.750508,-122.407341,4500,2.0,2,1000.0
177,single_family,,2021-02-15T04:55:16.953Z,for_rent,,San Francisco,San Francisco,94112,37.717051,-122.453257,4400,2.0,3,1300.0
178,condo,,2021-02-15T04:55:16.953Z,for_rent,,San Jose,Santa Clara,95124,37.282397,-121.913135,2850,2.0,2,1269.0
179,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Pleasanton,Alameda,94566,37.66021,-121.877707,5100,3.0,3,1524.0
180,condo,,2021-02-15T04:55:16.953Z,for_rent,,San Jose,Santa Clara,95128,37.315057,-121.947711,2490,2.0,2,1000.0
181,single_family,,2021-02-15T18:30:08.27Z,for_rent,,San Pablo,Contra Costa,94806,37.972543,-122.351145,2945,2.0,2,1670.0
182,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Roseville,Placer,95661,38.733654,-121.267166,2495,2.0,3,1432.0
183,condo,,2021-02-15T04:55:16.953Z,for_rent,,Pasadena,Los Angeles,91107,34.154012,-118.108265,2700,2.5,2,1135.0
184,single_family,,2021-02-15T18:30:08.27Z,for_rent,,Chula Vista,San Diego,91913,32.636715,-116.979145,3392,3.0,3,1858.0
185,single_family,,2021-02-15T14:30:08.37Z,for_rent,,Sacramento,Sacramento,95823,38.461808,-121.440181,2199,2.0,3,1341.0
186,single_family,,2021-02-15T12:55:13.917Z,for_rent,,Antioch,Contra Costa,94531,37.989846,-121.771664,3120,3.0,3,2144.0
187,single_family,,2021-02-15T12:55:13.917Z,for_rent,,Compton,Los Angeles,90220,33.883535,-118.226208,2145,1.0,2,935.0
188,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Martinez,Contra Costa,94553,38.00674,-122.119698,2795,2.5,3,1295.0
189,condo,,2021-02-15T04:55:16.953Z,for_rent,,San Jose,Santa Clara,95136,37.262314,-121.873654,3650,2.5,3,2049.0
190,condo,,2021-02-15T04:55:16.953Z,for_rent,,San Jose,Santa Clara,95118,37.259863,-121.878118,3300,2.5,3,1573.0
191,condo,,2021-02-15T04:55:16.953Z,for_rent,,San Diego,San Diego,92103,32.733599,-117.164244,5500,2.5,3,2230.0
192,condo,,2021-02-15T04:55:16.953Z,for_rent,,San Francisco,San Francisco,94114,37.75377,-122.426204,3650,1.0,2,1200.0
193,condo,,2021-02-15T04:55:16.953Z,for_rent,,Los Angeles,Los Angeles,90039,34.111954,-118.260358,3500,2.0,2,950.0
194,condo,,2021-02-15T04:55:16.953Z,for_rent,,San Francisco,San Francisco,94110,37.755004,-122.421852,6500,2.0,4,1800.0
195,condo,,2021-02-15T04:55:16.953Z,for_rent,,Solana Beach,San Diego,92075,32.981099,-117.263569,4595,2.5,3,1547.0
196,condo,,2021-02-15T04:55:16.953Z,for_rent,,Los Angeles,Los Angeles,90034,34.020479,-118.409082,3100,2.0,2,1106.0
197,condo,,2021-02-15T04:55:16.953Z,for_rent,,Mission Viejo,Orange,92692,33.579019,-117.649602,2650,2.5,2,1236.0
198,single_family,,2021-02-15T04:55:16.953Z,for_rent,,Merced,Merced,95348,37.349213,-120.470133,1800,2.5,3,1512.0
199,condo,,2021-02-15T04:55:16.953Z,for_rent,,Redwood City,San Mateo,94061,37.476462,-122.229977,2999,1.0,2,800.0
